CodPais;DescPais;DescPais_1;AbrevPais;DescPais_2;NomeImgBandeira
1;Uruguay;Uruguay;URU;Uruguai;https://upload.wikimedia.org/wikipedia/pt/0/04/AUF.png
2;Italy;Italy;ITA;Itália;https://upload.wikimedia.org/wikipedia/commons/b/bf/Logo_Italy_National_Football_Team_-_2023.svg
3;France;France;FRA;França;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/FRA?tx=c_fill,g_auto,q_auto
4;Brazil;Brazil;BRA;Brasil;https://upload.wikimedia.org/wikipedia/pt/2/2b/Confedera%C3%A7%C3%A3o_Brasileira_de_Futebol_2019.svg
5;Switzerland;Switzerland;SUI;Suíça;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/SUI?tx=c_fill,g_auto,q_auto,w_256
6;Sweden;Sweden;SWE;Suécia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/SWE?tx=c_fill,g_auto,q_auto,w_256
7;Chile;Chile;CHI;Chile;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/CHI?tx=c_fill,g_auto,q_auto,w_256
8;England;England;ENG;Inglaterra;https://upload.wikimedia.org/wikipedia/pt/thumb/2/2e/England_crest_2009.svg.png/225px-England_crest_2009.svg.png
9;Mexico;Mexico;MEX;México;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/MEX?tx=c_fill,g_auto,q_auto,w_256
10;Germany;Germany;GER;Alemanha;https://upload.wikimedia.org/wikipedia/pt/a/a9/DFBEagle.png?20221128180821
11;Argentina;Argentina;ARG;Argentina;https://cloudinary.fifa.com/api/v3/picture/flags-sq-4/ARG?tx=c_fill,g_auto,q_auto
12;Spain;Spain;ESP;Espanha;https://upload.wikimedia.org/wikipedia/pt/3/31/Spain_National_Football_Team_badge.png
13;USA;USA;USA;EUA;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/USA?tx=c_fill,g_auto,q_auto,w_256
14;Korea Republic;Korea Republic;KOR;Coreia do Sul;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/KOR?tx=c_fill,g_auto,q_auto,w_256
15;South Africa;South Africa;RSA;África do Sul;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/RSA?tx=c_fill,g_auto,q_auto,w_256
16;Russia;Russia;RUS;Rússia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/RUS?tx=c_fill,g_auto,q_auto,w_256
17;Japan;Japan;JPN;Japão;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/JPN?tx=c_fill,g_auto,q_auto,w_256
18;Algeria;Algeria;ALG;Argélia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/ALG?tx=c_fill,g_auto,q_auto,w_256
19;Angola;Angola;ANG;Angola;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/ANG?tx=c_fill,g_auto,q_auto,w_256
20;Australia;Australia;AUS;Austrália;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/AUS?tx=c_fill,g_auto,q_auto,w_256
21;Austria;Austria;AUT;Áustria;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/AUT?tx=c_fill,g_auto,q_auto,w_256
22;Belgium;Belgium;BEL;Bélgica;https://cloudinary.fifa.com/api/v1/picture/flags-sq-4/BEL?tx=c_fill,g_auto,q_auto,w_150
23;Bolivia;Bolivia;BOL;Bolívia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/BOL?tx=c_fill,g_auto,q_auto,w_256
24;Bulgaria;Bulgaria;BUL;Bulgária;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/BUL?tx=c_fill,g_auto,q_auto,w_256
25;C te d'Ivoire;C te d'Ivoire;CIV;C. do Marfim;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/CIV?tx=c_fill,g_auto,q_auto,w_256
26;Cameroon;Cameroon;CMR;Camarões;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/CMR?tx=c_fill,g_auto,q_auto,w_256
27;Canada;Canada;CAN;Canadá;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/CAN?tx=c_fill,g_auto,q_auto,w_256
28;China PR;China PR;CHN;China;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/CHN?tx=c_fill,g_auto,q_auto,w_256
29;Colombia;Colombia;COL;Colômbia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/COL?tx=c_fill,g_auto,q_auto,w_256
30;Costa Rica;Costa Rica;CRC;Costa Rica;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/CRC?tx=c_fill,g_auto,q_auto,w_256
31;Croatia;Croatia;CRO;Croácia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-4/CRO?tx=c_fill,g_auto,q_auto,w_150
32;Cuba;Cuba;CUB;Cuba;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/CUB?tx=c_fill,g_auto,q_auto,w_256
33;Czech Republic;Czech Republic;CZE;República Tcheca;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/CZE?tx=c_fill,g_auto,q_auto,w_256
34;Czechoslovakia;Czechoslovakia;TCH;Tchecoslováquia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/TCH?tx=c_fill,g_auto,q_auto,w_256
35;Denmark;Denmark;DEN;Dinamarca;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/DEN?tx=c_fill,g_auto,q_auto,w_256
36;Dutch East Indies;Dutch East Indies;INH;Índias Holandesas;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/INH?tx=c_fill,g_auto,q_auto,w_256
37;Ecuador;Ecuador;ECU;Equador;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/ECU?tx=c_fill,g_auto,q_auto,w_256
38;Egypt;Egypt;EGY;Egito;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/EGY?tx=c_fill,g_auto,q_auto,w_256
39;El Salvador;El Salvador;SLV;El Salvador;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/SLV?tx=c_fill,g_auto,q_auto,w_256
40;Germany;German DR;GDR;RD Alemanha;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/GDR?tx=c_fill,g_auto,q_auto,w_256
41;Germany;Germany FR;FRG;Alemanha Ocidental;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/FRG?tx=c_fill,g_auto,q_auto,w_256
42;Ghana;Ghana;GHA;Gana;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/GHA?tx=c_fill,g_auto,q_auto,w_256
43;Greece;Greece;GRE;Grécia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/GRE?tx=c_fill,g_auto,q_auto,w_256
44;Haiti;Haiti;HAI;Haiti;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/HAI?tx=c_fill,g_auto,q_auto,w_256
45;Honduras;Honduras;HON;Honduras;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/HON?tx=c_fill,g_auto,q_auto,w_256
46;Hungary;Hungary;HUN;Hungria;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/HUN?tx=c_fill,g_auto,q_auto,w_256
47;Iceland;Iceland;ICE;Islândia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/ISL?tx=c_fill,g_auto,q_auto,w_256
48;Iran;Iran;IRN;Irã;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/IRN?tx=c_fill,g_auto,q_auto,w_256
49;Iraq;Iraq;IRQ;Iraque;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/IRQ?tx=c_fill,g_auto,q_auto,w_256
50;Israel;Israel;ISR;Israel;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/ISR?tx=c_fill,g_auto,q_auto,w_256
51;Jamaica;Jamaica;JAM;Jamaica;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/JAM?tx=c_fill,g_auto,q_auto,w_256
52;Korea DPR;Korea DPR;PRK;Coréia do Norte;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/PRK?tx=c_fill,g_auto,q_auto,w_256
53;Kuwait;Kuwait;KUW;Kuwait;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/KUW?tx=c_fill,g_auto,q_auto,w_256
54;Morocco;Morocco;MAR;Marrocos;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/MAR?tx=c_fill,g_auto,q_auto,w_256
55;Netherlands;Netherlands;NED;Holanda;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/NED?tx=c_fill,g_auto,q_auto,w_256
56;New Zealand;New Zealand;NZL;Nova Zelândia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/NZL?tx=c_fill,g_auto,q_auto,w_256
57;Nigeria;Nigeria;NGA;Nigéria;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/NGA?tx=c_fill,g_auto,q_auto,w_256
58;Northern Ireland;Northern Ireland;NIR;Irlanda do Norte;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/NIR?tx=c_fill,g_auto,q_auto,w_256
59;Norway;Norway;NOR;Noruega;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/NOR?tx=c_fill,g_auto,q_auto,w_256
60;Panama;Panama;PAN;Panamá;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/PAN?tx=c_fill,g_auto,q_auto,w_256
61;Paraguay;Paraguay;PAR;Paraguai;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/PAR?tx=c_fill,g_auto,q_auto,w_256
62;Peru;Peru;PER;Peru;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/PER?tx=c_fill,g_auto,q_auto,w_256
63;Poland;Poland;POL;Polônia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/POL?tx=c_fill,g_auto,q_auto,w_256
64;Portugal;Portugal;POR;Portugal;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/POR?tx=c_fill,g_auto,q_auto,w_256
65;Bosnia and Herzegovina;Bosnia and Herzegovina;BIH;Bósnia-Herzegovina;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/BIH?tx=c_fill,g_auto,q_auto,w_256
66;Republic of Ireland;Republic of Ireland;IRL;Irlanda;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/IRL?tx=c_fill,g_auto,q_auto,w_256
67;Serbia and Montenegro;Serbia and Montenegro;SCG;Sérvia e Montenegro;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/SCG?tx=c_fill,g_auto,q_auto,w_256
68;Trinidad and Tobago;Trinidad and Tobago;TRI;Trinidad e Tobago;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/TRI?tx=c_fill,g_auto,q_auto,w_256
69;United Arab Emirates;United Arab Emirates;UAE;Emirados Árabes Unidos;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/UAE?tx=c_fill,g_auto,q_auto,w_256
70;Romania;Romania;ROU;Romênia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/ROU?tx=c_fill,g_auto,q_auto,w_256
71;Saudi Arabia;Saudi Arabia;KSA;Arábia Saudita;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/KSA?tx=c_fill,g_auto,q_auto,w_256
72;Scotland;Scotland;SCO;Escócia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/SCO?tx=c_fill,g_auto,q_auto,w_256
73;Senegal;Senegal;SEN;Senegal;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/SEN?tx=c_fill,g_auto,q_auto,w_256
74;Serbia;Serbia;SRB;Sérvia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/SRB?tx=c_fill,g_auto,q_auto,w_256
75;Slovakia;Slovakia;SVK;Eslováquia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/SVK?tx=c_fill,g_auto,q_auto,w_256
76;Slovenia;Slovenia;SVN;Eslovênia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/SVN?tx=c_fill,g_auto,q_auto,w_256
77;Soviet Union;Soviet Union;URS;URSS;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/URS?tx=c_fill,g_auto,q_auto,w_256
78;Togo;Togo;TOG;Togo;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/TOG?tx=c_fill,g_auto,q_auto,w_256
79;Tunisia;Tunisia;TUN;Tunísia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/TUN?tx=c_fill,g_auto,q_auto,w_256
80;Turkey;Turkey;TUR;Turquia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-4/TUR?tx=c_fill,g_auto,q_auto,w_150
81;Ukraine;Ukraine;UKR;Ucrânia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/UKR?tx=c_fill,g_auto,q_auto,w_256
82;Wales;Wales;WAL;Gales;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/WAL?tx=c_fill,g_auto,q_auto,w_256
83;Yugoslavia;Yugoslavia;YUG;Iugoslávia;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/YUG?tx=c_fill,g_auto,q_auto,w_256
84;Zaire;Zaire;ZAI;Zaire;https://cloudinary.fifa.com/api/v1/picture/flags-sq-5/ZAI?tx=c_fill,g_auto,q_auto,w_256
